Current Test: datasets\c3p3.txt
Current Gen	| Free space (%) | Misfits | Chromosome (X, Y)
0			  6.44444					2			(10), (18), (13), (4), (24), (15), (12), (2), (1), (27), (9), (11), (25), (0), (22), (3), (17), (21), (6), (16), (5), (8), (26), (23), (7), (19), (20), (14), 
2			  5.33334					2			(16), (18), (13), (4), (24), (0), (12), (2), (1), (27), (9), (11), (25), (15), (22), (3), (17), (21), (6), (10), (5), (8), (26), (23), (7), (19), (20), (14), 
4			  4.33334					3			(16), (18), (2), (4), (24), (0), (12), (13), (1), (27), (21), (11), (25), (15), (22), (3), (17), (9), (6), (10), (5), (8), (26), (23), (7), (19), (20), (14), 
6			  2.88889					2			(16), (18), (2), (8), (24), (0), (12), (13), (1), (27), (21), (11), (25), (15), (22), (3), (17), (9), (6), (10), (5), (4), (26), (23), (7), (19), (20), (14), 
10			  1.55556					1			(16), (18), (2), (8), (24), (0), (13), (12), (1), (25), (21), (11), (15), (27), (22), (3), (17), (9), (6), (10), (5), (4), (26), (23), (7), (19), (20), (14), 
44			  1.33334					1			(16), (18), (2), (8), (7), (0), (13), (12), (17), (25), (21), (11), (27), (6), (3), (1), (22), (4), (23), (5), (9), (14), (26), (10), (20), (15), (24), (19), 
9346			  1					1			(12), (18), (2), (8), (22), (0), (16), (14), (11), (13), (7), (17), (23), (3), (1), (4), (21), (26), (27), (25), (24), (6), (5), (20), (19), (9), (10), (15), 
17098			  0.833336					1			(12), (13), (2), (0), (26), (25), (19), (16), (27), (18), (17), (1), (20), (11), (3), (6), (21), (4), (7), (8), (24), (14), (5), (23), (9), (15), (22), (10), 
18688			  0.333336					1			(12), (18), (2), (26), (5), (0), (19), (9), (11), (1), (23), (13), (27), (17), (3), (21), (4), (25), (16), (20), (24), (14), (22), (7), (8), (10), (15), (6), 
18824			  0.277779					1			(13), (12), (2), (26), (5), (19), (0), (9), (18), (1), (23), (11), (17), (27), (3), (25), (16), (21), (4), (20), (14), (10), (22), (8), (24), (6), (15), (7), 
20000			  0.277779					1			(13), (12), (2), (9), (26), (5), (19), (0), (22), (15), (17), (21), (18), (27), (3), (23), (1), (20), (6), (16), (11), (4), (25), (14), (10), (8), (24), (7), 
